,DAILY_YIELD,DC_POWER,AC_POWER,PLANT_ID
0,0.0,0.0,0.0,4135001
1,0.0,0.0,0.0,4135001
2,0.0,0.0,0.0,4135001
3,0.0,0.0,0.0,4135001
4,0.0,0.0,0.0,4135001
5,0.0,0.0,0.0,4135001
6,0.0,0.0,0.0,4135001
7,0.0,0.0,0.0,4135001
8,0.0,0.0,0.0,4135001
9,0.0,0.0,0.0,4135001
10,0.0,0.0,0.0,4135001
11,0.0,0.0,0.0,4135001
12,0.0,0.0,0.0,4135001
13,0.0,0.0,0.0,4135001
14,0.0,0.0,0.0,4135001
15,0.0,0.0,0.0,4135001
16,0.0,0.0,0.0,4135001
17,0.0,0.0,0.0,4135001
18,0.0,0.0,0.0,4135001
19,0.0,0.0,0.0,4135001
20,0.0,0.0,0.0,4135001
21,0.0,0.0,0.0,4135001
22,0.0,0.0,0.0,4135001
23,0.0,0.0,0.0,4135001
24,0.0,37.14285714,3.585714286,4135001
25,2.625,278.0,26.8625,4135001
26,13.28571429,626.5714286,60.68571429,4135001
27,34.875,1224.75,119.275,4135001
28,72.71428571,1734.571429,170.0142857,4135001
29,116.25,1856.375,181.9375,4135001
30,162.4285714,1842.285714,180.5857143,4135001
31,206.375,1877.875,184.0625,4135001
32,263.5714286,3246.0,318.6714286,4135001
33,359.875,3917.5,384.8375,4135001
34,464.0,4322.0,424.1285714,4135001
35,556.125,4257.125,417.7875,4135001
36,688.8571429,5706.714286,559.2285714,4135001
37,811.625,4015.5,394.0125,4135001
38,886.5714286,3219.285714,315.8857143,4135001
39,991.4285714,6454.428571,632.3428571,4135001
40,1161.25,6008.375,588.775,4135001
41,1307.571429,6637.285714,650.0285714,4135001
42,1440.0,4399.75,431.875,4135001
43,1549.0,4360.571429,428.2285714,4135001
44,1693.0,6829.5,668.725,4135001
45,1843.714286,5969.0,584.7857143,4135001
46,1994.5,6226.125,609.8625,4135001
47,2155.0,9420.285714,920.0428571,4135001
48,2382.875,8232.5,805.1875,4135001
49,2614.571429,10546.57143,1030.285714,4135001
50,2860.0,8517.0,832.9625,4135001
51,3062.0,8006.285714,783.5571429,4135001
52,3223.25,6089.375,596.5625,4135001
53,3384.857143,6359.714286,623.0428571,4135001
54,3543.0,7588.0,742.9142857,4135001
55,3726.875,7471.375,731.5,4135001
56,3936.714286,9555.0,934.4714286,4135001
57,4191.0,10642.75,1039.35,4135001
58,4398.142857,5429.857143,532.2285714,4135001
59,4528.5,6742.25,659.875,4135001
60,4697.714286,5920.428571,580.2571429,4135001
61,4840.25,6339.375,620.9875,4135001
62,5016.142857,6510.0,637.7,4135001
63,5137.75,4694.5,460.0375,4135001
64,5275.285714,4551.142857,446.5714286,4135001
65,5369.125,4081.25,400.725,4135001
66,5477.714286,4338.285714,426.0142857,4135001
67,5571.75,3259.625,320.1125,4135001
68,5637.142857,2067.857143,202.6857143,4135001
69,5687.75,2011.375,197.1875,4135001
70,5719.0,1091.0,106.0666667,4135001
71,5739.75,485.875,47.0125,4135001
72,5749.285714,264.0,25.48571429,4135001
73,5753.142857,78.28571429,7.542857143,4135001
74,5754.0,0.0,0.0,4135001
75,5754.0,0.0,0.0,4135001
76,5754.0,0.0,0.0,4135001
77,5754.0,0.0,0.0,4135001
78,5754.0,0.0,0.0,4135001
79,5754.0,0.0,0.0,4135001
80,5754.0,0.0,0.0,4135001
81,5754.0,0.0,0.0,4135001
82,5754.0,0.0,0.0,4135001
83,5754.0,0.0,0.0,4135001
84,5754.0,0.0,0.0,4135001
85,5754.0,0.0,0.0,4135001
86,5754.0,0.0,0.0,4135001
87,5754.0,0.0,0.0,4135001
88,5754.0,0.0,0.0,4135001
89,5754.0,0.0,0.0,4135001
90,5754.0,0.0,0.0,4135001
91,5754.0,0.0,0.0,4135001
92,5754.0,0.0,0.0,4135001
93,0.0,0.0,0.0,4135001
94,0.0,0.0,0.0,4135001
95,0.0,0.0,0.0,4135001
96,0.0,0.0,0.0,4135001
